source_url,source_tier,status,local_path,hash_status,file_size
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMar2016.zip,PASS,1942266
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataApr2016.zip,PASS,1944178
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMay2016.zip,PASS,1944198
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJun2016.zip,PASS,1944232
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJul2016.zip,PASS,1944201
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataAug2016.zip,PASS,1944208
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataSep2016.zip,PASS,1944054
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataOct2016.zip,PASS,1944182
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataNov2016.zip,PASS,1944308
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2016.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataDec2016.zip,PASS,1944257
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJan2017.zip,PASS,1944233
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataFeb2017.zip,PASS,1944463
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMar2017.zip,PASS,1944607
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataApr2017.zip,PASS,1944549
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMay2017.zip,PASS,1944224
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJun2017.zip,PASS,1944534
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJul2017.zip,PASS,2693636
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataAug2017.zip,PASS,2693707
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataSep2017.zip,PASS,2693561
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataOct2017.zip,PASS,2693737
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataNov2017.zip,PASS,2694151
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2017.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataDec2017.zip,PASS,2694409
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJan2018.zip,PASS,2694161
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataFeb2018.zip,PASS,2694649
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMar2018.zip,PASS,2694245
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataApr2018.zip,PASS,2558172
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMay2018.zip,PASS,2557849
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJun2018.zip,PASS,2556227
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJul2018.zip,PASS,2498478
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataAug2018.zip,PASS,5339739
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataSep2018.zip,PASS,5342692
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataOct2018.zip,PASS,5342734
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataNov2018.zip,PASS,5342774
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2018.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataDec2018.zip,PASS,5342763
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJan2019.zip,PASS,5342606
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataFeb2019.zip,PASS,5342636
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMar2019.zip,PASS,5342092
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataApr2019.zip,PASS,5341947
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMay2019.zip,PASS,5341785
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJun2019.zip,PASS,5341139
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJul2019.zip,PASS,5341057
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataAug2019.zip,PASS,5341199
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataSep2019.zip,PASS,5342994
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataOct2019.zip,PASS,5343113
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataNov2019.zip,PASS,5344801
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2019.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataDec2019.zip,PASS,5218026
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJan2020.zip,PASS,5344762
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataFeb2020.zip,PASS,5344877
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMar2020.zip,PASS,5343814
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataApr2020.zip,PASS,5344181
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMay2020.zip,PASS,5343694
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJun2020.zip,PASS,5343271
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJul2020.zip,PASS,5343323
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataAug2020.zip,PASS,5343444
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataSep2020.zip,PASS,5343967
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataOct2020.zip,PASS,5343930
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataNov2020.zip,PASS,5344488
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2020.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataDec2020.zip,PASS,5344580
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2021.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJan2021.zip,PASS,5344327
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2021.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataFeb2021.zip,PASS,5344763
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2021.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMar2021.zip,PASS,5346035
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2021.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataApr2021.zip,PASS,5346212
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2021.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMay2021.zip,PASS,5346066
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2021.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJun2021.zip,PASS,5346258
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2021.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJul2021.zip,PASS,5346128
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2021.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataAug2021.zip,PASS,5346316
